name,teacher,school,student_num
如何学好计算机组成原理课程-「疾风计划」导师专属直播【一年挑战计算机专业】,纪禄平,学堂在线,1394 人
Brain Science and Advanced Imaging Techniques,张明,西安交通大学,190 人
复杂场景下的机器阅读理解,林衍凯,清华大学,191 人
大规模在线教育中的知识智能,于济凡,清华大学,197 人
2020高校人工智能人才培养论坛,,,1615 人
NLP应用中Transformer模型线上服务加速的业界实践,方佳瑞,清华大学,300 人
计算机视觉在地图领域的应用,滴滴-科技生态与发展部,滴滴,304 人
初探图神经网络在分子成药性估计中的应用,裘捷中,清华大学,176 人
疫情影响下求职的挑战与机遇,张杰,学堂在线,271 人
表示学习的利与弊,赵晗,伊利诺伊大学香槟分校,170 人
自监督学习在视觉场景中的研究新进展,詹晓航 李顺恺,香港中文大学,233 人
如何迈向高效深度神经网络模型架构？,,,1017 人
"CVPR2020""最佳论文""对cv领域的启发",黄高,清华大学,157 人
自动化测试及修复神经网络翻译模型,孙泽宇,北京大学,215 人
在线教学网络研讨会会议精彩回放,张莉 赵宏 等,中国农业大学,564 人
如何写好一篇论文？,,,1601 人
从梯度信噪比来理解深度学习泛化性能为什么这么好,刘锦龙,清华大学,148 人
新冠疫情中新闻学术数据的获取及分析应用,杜冀中,智谱·AI,167 人
计算机软件技术,张鹏 许欣然 等,快手,886 人
利用轨迹数据自动校准道路交叉口拓扑信息,刘国平,学堂在线,141 人
AI TIME PhD 浙江大学CAD&CG国家重点实验室专场一,,,1493 人
基于搜索日志、多维度信息的新冠肺炎风险预测,叶子逸 曾奥涵,清华大学,133 人
计算机二级C语言程序设计,张宁,学堂在线,133 人
AI分割技术在快手平台的应用,宋丛礼,清华大学,129 人
智谱新冠流行预测大赛线上颁奖&AI TIME 线上分享,李涓子 刘德兵 等,清华大学,126 人
Engineering Responsible AI,沈向洋,清华大学,172 人
任务导向型对话系统评测,高信龙一,清华大学,116 人
KdConv: 知识驱动的中文多轮对话数据集,郑楚杰,清华大学,115 人
计算机二级公共基础知识,张宁,学堂在线,114 人
MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,陈佳奥,佐治亚理工学院,146 人
对神经网络对抗鲁棒性正则化的认识,温宇馨,华南理工大学,129 人
驭风计划：培养人工智能青年人才【第二期】,张敏,学堂在线,103 人
CVPR2020竞赛经验分享会,滴滴-科技生态与发展部,滴滴,110 人
任务导向对话的数据和平台建设,朱祺,清华大学,100 人
对话系统中的个性化回复生成与异常输入检测,郑银河,清华大学,95 人
低资源场景下的对话系统任务的模型定制,宋伊萍,北京大学,94 人
